accept accepted
platform platforms
plattdüütsch plattdüütsch
policy policy
polski polski
pona pona
popular popular
port ported
portal portal
português português
potentially potentially
power power
powerpc powerpc
precursor precursors
predominant predominant
previously previously
printable printable
privacy privacy
program programmed programming
project project projects
prominent prominent
pronunciation pronunciations
protect protected
provide provided
public public
publicly publicly
purpose purpose
qaraqalpaqsha qaraqalpaqsha
qr qr
random random
read read
recent recent
recommends recommends
record recorded
red red
reference references
register registered
reimplementation reimplementation
relate related
release release released
repository repository
represent represents
respective respective
retrieve retrieved
review reviewed
revision revision
richard richard
ripoarisch ripoarisch
rocket rocket
română română
router routers
run runs
runa runa
rust rust
safety safety
sale sales
samsung samsung
sardu sardu
scale scaled
scots scots
search search
see see
seeltersk seeltersk
september september
series series
server server servers
share share
shell shell
short short
shorten shortened
shqip shqip
sicilianu sicilianu
sidebar sidebar
simi simi
simple simple
since since
sister sister
site site
slovenčina slovenčina
slovenščina slovenščina
smart smart
smartphones smartphones
software software
solution solution
soomaaliga soomaaliga
sophisticated sophisticated
source source sources
space space
spacecraft spacecraft
sparc sparc
special special
srpski srpski
srpskohrvatski srpskohrvatski
stack stack
stallman stallman
standard standard
state state
statement statement statements
statistic statistics
status status
subsection subsection
suomi suomi
supercomputer supercomputers
superh superh
support support supported supporting
suse suse
svenska svenska
system system systems
table table
tagalog tagalog
tailor tailored
talk talk
taqbaylit taqbaylit
target target
tatarça tatarça
technology technologies
television televisions
term terms
tesla tesla
tetun tetun
text text
therefore therefore
third third
thousand thousands
time time
tiếng tiếng
toggle toggle
toki toki
tool tools
top top
topic topic
torvalds torvalds
toybox toybox
toyota toyota
trademark trademark
tux tux
tv tvs
type type
typically typically
türkçe türkçe
u us
ubuntu ubuntu
ugi ugi
undergo undergoing
unfit unfit
unix unix
unsourced unsourced
update update
upload upload
uptake uptake
url url
use use used uses using
user user users
userland userland
utc utc
vahcuengh vahcuengh
variant variants
variety variety
various various
vepsän vepsän
version version
via via
video video
view view
việt việt
vèneto vèneto
võro võro
walon walon
wayland wayland
web web
website website
whereas whereas
whose whose
wide wide
wikibooks wikibooks
wikidata wikidata
wikimedia wikimedia
wikipedia wikipedia
wikiquote wikiquote
wikiversity wikiversity
winaray winaray
window windows
windowing windowing
wolof wolof
word word
work working
workstation workstations
world world
would would
write written
xfce xfce
xtensa xtensa
year years
yorùbá yorùbá
zazaki zazaki
zeêuws zeêuws
íslenska íslenska
čeština čeština
ślůnski ślůnski
žemaitėška žemaitėška
ελληνικά ελληνικά
башҡортса башҡортса
беларуская беларуская
български български
ирон ирон
коми коми
кыргызча кыргызча
македонски македонски
монгол монгол
русиньскый русиньскый
русский русский
саха саха
српски српски
српскохрватски српскохрватски
тарашкевіца тарашкевіца
татарча татарча
тыла тыла
удмурт удмурт
українська українська
ўзбекча ўзбекча
қазақша қазақша
արեւմտահայերէն արեւմտահայերէն
հայերեն հայերեն
עברית עברית
اردو اردو
الدارجة الدارجة
العربية العربية
تۆرکجه تۆرکجه
سنڌي سنڌي
فارسی فارسی
مصرى مصرى
پنجابی پنجابی
پښتو پښتو
کوردی کوردی
ܐܪܡܝܐ ܐܪܡܝܐ
ไทย ไทย
ລາວ ລາວ
მარგალური მარგალური
ქართული ქართული
አማርኛ አማርኛ
中文 中文
吴语 吴语
客家語 客家語
文言 文言
日本語 日本語
粵語 粵語
閩南語 閩南語
閩東語 閩東語
한국어 한국어
